                                                   Tweet  Favorites  Compound  Positive  Neutral  Negative
5528   okay but i love her speaking voice so much?? p...          1    0.8996     0.523    0.477     0.000
5529   @busybasmr say no more fam https://t.co/EaelEF...          6   -0.2960     0.000    0.694     0.306
5530   @RaisedByKingsGG There is legit no way u dont ...          1   -0.2960     0.000    0.896     0.104
5531   New Eraudica Exclusive - ASMR Layered Cock Wor...          1    0.2732     0.327    0.531     0.142
5532   asmr idea: antoni from queer eye comes to ur h...          1    0.3182     0.099    0.901     0.000
5533   Me breaking into your house ASMR https://t.co/...          5    0.0000     0.000    1.000     0.000
5534               Good evening  https://t.co/6JlzKHSh4U          0    0.4404     0.592    0.408     0.000
5535   Asmr videos are pretty annoying to me Idk why ...          1   -0.0553     0.211    0.537     0.252
5536   Risa’s thetye to watch xronchy ASMR  videos to...          1    0.2040     0.191    0.687     0.122
5537   Troye Sivan Explores ASMR | W Magazine https:/...          1    0.0000     0.000    1.000     0.000
5538   why did warning play in the middle of my and j...          2    0.0000     0.152    0.696     0.152
5539   Another vid sold! 4K Sloppy Sailor ASMR  POV B...          3    0.0000     0.000    1.000     0.000
5540   Does anyone else watch those asmr soap cutting...          8   -0.4291     0.075    0.686     0.240
5541   tf li and i are doing asmr shit at 11:40pm we’...          1   -0.5574     0.000    0.753     0.247
5542   Omg before Selena became an ASMR artist 😍😍 htt...          1    0.0000     0.000    1.000     0.000
5543   Could listen to this over &amp; over ! 💕 #ASMR...          0    0.0000     0.000    1.000     0.000
5544   my ASMR trigger a lot by watching an implemetn...          1   -0.3875     0.000    0.889     0.111
5545   You'll find only the finest ASMR videos on my ...        533    0.0000     0.000    1.000     0.000
5546   #ASMR is a growing video trend for people who ...         78    0.7506     0.346    0.654     0.000
5547              communist asmr https://t.co/pFfSzswSWa          3    0.0000     0.000    1.000     0.000
5548   The visuals and asmr are totally on point! htt...          0    0.0000     0.000    1.000     0.000
5549                  @Joekemon Eating beans IS the ASMR          0    0.0000     0.000    1.000     0.000
5550     @SlenderSherbet @asmrDarling you and arya asmr?          0    0.0000     0.000    1.000     0.000
5551   @bIoodyaIpha @RUINDOLLY Thank you for informin...          2    0.7264     0.303    0.697     0.000
5552                eating ass asmr! real mouth sounds 💦          2   -0.5848     0.000    0.649     0.351
5553              atleast its not those eating asmr ones          0    0.0000     0.000    1.000     0.000
5554   kerrie listens to degradation asmr . am i rlly...          2   -0.3612     0.168    0.531     0.301
5555   I'm now making ASMR videos. Enjoy and relax ht...          0    0.7269     0.466    0.534     0.000
5556      @AidanRGallagher Aidan watches ASMR confirmed.          0    0.0000     0.000    1.000     0.000
5557                        @2019thoughts listen to asmr          0    0.0000     0.000    1.000     0.000
5558   i feel like ASMR is going to change the world ...          0    0.3612     0.185    0.815     0.000
5559   Noname &gt; Eminem. IDK how to describe her mu...          0    0.0943     0.127    0.764     0.109
5560   my uncle almost caught me doing asmr to his tu...          2    0.3612     0.161    0.839     0.000
5561   You ever VC with someone and they start eating...          0    0.2960     0.087    0.913     0.000
5562   *scratches nails on steering wheel* “ooouuu, t...          0    0.4404     0.182    0.818     0.000
5563   send me ur fav asmr channels NOW i need good s...          1    0.7096     0.396    0.604     0.000
5564   @antoni I’m gonna need you to start an ASMR ch...          0    0.0000     0.000    1.000     0.000
5565   I found I gay asmr channel I can't believe THI...          0    0.0000     0.000    1.000     0.000
5566   @FamKamASMR @AsmrMaya @Mekotsu Congrats!! Gett...          0    0.8164     0.483    0.517     0.000
5567   @taysjennie hdkdh I understand! I watch asmr s...          0   -0.6317     0.000    0.684     0.316
5568   Madmattr Layered Rainbow Star #satisfying #asm...          1    0.0000     0.000    1.000     0.000
5569         Asmr for communists https://t.co/27cPS5NKZ5          0    0.0000     0.000    1.000     0.000
5570                 asmr hits differently when its late          3    0.0000     0.000    1.000     0.000
5571            @imagineyonce talk me to sleep asmr king          2    0.0000     0.000    1.000     0.000
5572              Most asmr videos make me uncomfortable          0   -0.3818     0.000    0.658     0.342
5573   We need to work on getting Jack Blacks latest ...          0   -0.2960     0.000    0.916     0.084
5574   Troye Sivan Explores ASMR | W Magazine https:/...          0    0.0000     0.000    1.000     0.000
5575   what i look for in ASMR:\n- caring and support...          0    0.6124     0.273    0.657     0.071
5576   Hit next milestone. The next milestone is #pla...          0    0.0000     0.000    1.000     0.000
5577   @lolo_niccole TELL ME ABOUT IT. a slime accoun...          0   -0.6682     0.000    0.785     0.215
5578       @lovelyantariksa subscribe to my asmr channel          1    0.0000     0.000    1.000     0.000
5579   @Knight1ndustry I've learned that ASMR is a th...          1    0.0000     0.000    1.000     0.000
5580   Is now a good time to mention Dave Coulier gav...          0    0.6597     0.231    0.769     0.000
5581   is it weird that i actually like asmr?? it rea...         14    0.5794     0.360    0.528     0.112
5582   @Chupetinha3224 @JackieOtario @k_sunflowercat ...          1    0.0000     0.000    1.000     0.000
5583   @Chupetinha3224 @JackieOtario @k_sunflowercat ...          1    0.0000     0.000    1.000     0.000
5584   omg am going to do it in asmr brb https://t.co...         39    0.0000     0.000    1.000     0.000
5585      have you tried👋 🎳 ASMR https://t.co/b2swX3UDgV          2    0.0000     0.000    1.000     0.000
5586                           @Ahr_Ech Thats asmr to me          1    0.0000     0.000    1.000     0.000
5587                       @un_asmr sweet boy sweet baby          0    0.7184     0.667    0.333     0.000
5588   me doing asmr on facetime https://t.co/jHbY2C5i6a          0    0.0000     0.000    1.000     0.000
5589   ASMR Dog Reviewing Raw Meats! https://t.co/HUn...          0    0.0000     0.000    1.000     0.000
5590                 help im in love with this asmr lady          0    0.7845     0.535    0.465     0.000
5591                     what are ur opinions on ASMR ??          8    0.0000     0.000    1.000     0.000
5592   ASMR TAPPING &amp; TOUCHING THE GOLD BOX | No ...          0   -0.2960     0.000    0.901     0.099
5593   New post: ASMR Crinkles For Your Tingles | No ...          2   -0.2960     0.000    0.804     0.196
5594   New post: ASMR Scratching For Your Tingles | N...          0   -0.2960     0.000    0.804     0.196
5595   I'm so proud of YOU [ASMR by lumlumxx @manyvid...          1    0.5256     0.274    0.726     0.000
5596   @narukami_vs Sorry fam id rather watch your cl...          1   -0.0772     0.000    0.902     0.098
5597   hey @un_asmr !!!!!! it’s bumblebee (as you kno...          0    0.0000     0.000    1.000     0.000
5598                             asmr idea hair slurping          0    0.0000     0.000    1.000     0.000
5599   @_saysooo - looking at pics/vids of cats (no l...          0    0.0000     0.000    1.000     0.000
5600   (ASMR) Biohacking Roleplay With An Organic Glitch          0    0.0000     0.000    1.000     0.000
5601   You Will Feel Better In Under 10 Minutes To AS...          0   -0.3612     0.143    0.591     0.266
5602   ASMR (feat. Awkwafina) https://t.co/TGymSB0qJg...          0    0.4019     0.172    0.828     0.000
5603                          @cluelessval Queen of ASMR          0    0.0000     0.000    1.000     0.000
5604           @OldBookClub @AndrewQuackson Tradcon asmr          1    0.0000     0.000    1.000     0.000
5605   Listening to my brother eat reheated pizza tha...          1   -0.5719     0.070    0.767     0.164
5606   https://t.co/ww85d8EqDx @busybasmr is an aweso...          1    0.6249     0.227    0.773     0.000
5607   @iCon92_ I did asmr video thru them this morni...          1    0.0000     0.000    1.000     0.000
5608             Am I the only one obsessed with ASMR? 😂          1    0.2960     0.232    0.549     0.220
5609                   @109volts this is my kind of asmr          2    0.0000     0.000    1.000     0.000
5610   hotel california is like asmr to me idk i coul...          7    0.0000     0.185    0.630     0.185
5611   I just saw an asmr video of a girl mixing like...          0    0.3612     0.111    0.889     0.000
5612   A lovely compliment I got today has me wonderi...          7    0.7845     0.277    0.723     0.000
5613   @TheUnknownUsa Ear eating asmr is where it’s a...          0    0.0000     0.000    1.000     0.000
5614          ASMR Paper Rapping https://t.co/9pP5HBeuAP          1    0.0000     0.000    1.000     0.000
5615             Today I found out furry ASMR is a thing          8    0.0000     0.000    1.000     0.000
5616   50 send now for my stone crabs 😈👣#findom #mukb...          2    0.0000     0.000    1.000     0.000
5617   If you find asmr confusing (like I do) and you...          0    0.6705     0.281    0.646     0.072
5618   terezi pyrope eats dave striders hair straight...          2    0.2942     0.135    0.865     0.000
5619   This is the second video in the Marketplace AS...          0   -0.2960     0.000    0.905     0.095
5620   asmr: using scissors to scrape gum outta your ...          0    0.4939     0.176    0.824     0.000
5621   ASMR | Peeling Stickers off Microphone, Sticky...          0    0.0000     0.000    1.000     0.000
5622   Yes Bubba.  This ASMR video will defiantly hel...          2    0.8020     0.427    0.573     0.000
5623   @infinite_bagel tsudaken tells u to commit cri...          1   -0.0772     0.206    0.561     0.234
5624   okay so..... I'm into ASMR now. like i think i...          9    0.5267     0.306    0.694     0.000
5625   Best asmr. We really relaxed after that. https...          1    0.8268     0.562    0.438     0.000
5626   Do you like it when soap is crushed in your ha...          0   -0.1511     0.128    0.715     0.158
5627   okay but i love her speaking voice so much?? p...          1    0.8996     0.523    0.477     0.000
5628   @busybasmr say no more fam https://t.co/EaelEF...          6   -0.2960     0.000    0.694     0.306
5629   @RaisedByKingsGG There is legit no way u dont ...          1   -0.2960     0.000    0.896     0.104
5630   New Eraudica Exclusive - ASMR Layered Cock Wor...          1    0.2732     0.327    0.531     0.142
5631   asmr idea: antoni from queer eye comes to ur h...          1    0.3182     0.099    0.901     0.000
5632   Me breaking into your house ASMR https://t.co/...          5    0.0000     0.000    1.000     0.000
5633               Good evening  https://t.co/6JlzKHSh4U          0    0.4404     0.592    0.408     0.000
5634   Asmr videos are pretty annoying to me Idk why ...          1   -0.0553     0.211    0.537     0.252
5635   Risa’s thetye to watch xronchy ASMR  videos to...          1    0.2040     0.191    0.687     0.122
5636   Troye Sivan Explores ASMR | W Magazine https:/...          1    0.0000     0.000    1.000     0.000
5637   why did warning play in the middle of my and j...          2    0.0000     0.152    0.696     0.152
5638   Another vid sold! 4K Sloppy Sailor ASMR  POV B...          3    0.0000     0.000    1.000     0.000
5639   Does anyone else watch those asmr soap cutting...          8   -0.4291     0.075    0.686     0.240
5640   tf li and i are doing asmr shit at 11:40pm we’...          1   -0.5574     0.000    0.753     0.247
5641   Omg before Selena became an ASMR artist 😍😍 htt...          1    0.0000     0.000    1.000     0.000
5642   Could listen to this over &amp; over ! 💕 #ASMR...          0    0.0000     0.000    1.000     0.000
5643   my ASMR trigger a lot by watching an implemetn...          1   -0.3875     0.000    0.889     0.111
5644   You'll find only the finest ASMR videos on my ...        533    0.0000     0.000    1.000     0.000
5645   #ASMR is a growing video trend for people who ...         78    0.7506     0.346    0.654     0.000
5646              communist asmr https://t.co/pFfSzswSWa          3    0.0000     0.000    1.000     0.000
5647   The visuals and asmr are totally on point! htt...          0    0.0000     0.000    1.000     0.000
5648                  @Joekemon Eating beans IS the ASMR          0    0.0000     0.000    1.000     0.000
5649     @SlenderSherbet @asmrDarling you and arya asmr?          0    0.0000     0.000    1.000     0.000
5650   @bIoodyaIpha @RUINDOLLY Thank you for informin...          2    0.7264     0.303    0.697     0.000
5651                eating ass asmr! real mouth sounds 💦          2   -0.5848     0.000    0.649     0.351
5652              atleast its not those eating asmr ones          0    0.0000     0.000    1.000     0.000
5653   kerrie listens to degradation asmr . am i rlly...          2   -0.3612     0.168    0.531     0.301
5654   I'm now making ASMR videos. Enjoy and relax ht...          0    0.7269     0.466    0.534     0.000
5655      @AidanRGallagher Aidan watches ASMR confirmed.          0    0.0000     0.000    1.000     0.000
5656                        @2019thoughts listen to asmr          0    0.0000     0.000    1.000     0.000
5657   i feel like ASMR is going to change the world ...          0    0.3612     0.185    0.815     0.000
5658   Noname &gt; Eminem. IDK how to describe her mu...          0    0.0943     0.127    0.764     0.109
5659   my uncle almost caught me doing asmr to his tu...          2    0.3612     0.161    0.839     0.000
5660   You ever VC with someone and they start eating...          0    0.2960     0.087    0.913     0.000
5661   *scratches nails on steering wheel* “ooouuu, t...          0    0.4404     0.182    0.818     0.000
5662   send me ur fav asmr channels NOW i need good s...          1    0.7096     0.396    0.604     0.000
5663   @antoni I’m gonna need you to start an ASMR ch...          0    0.0000     0.000    1.000     0.000
5664   I found I gay asmr channel I can't believe THI...          0    0.0000     0.000    1.000     0.000
5665   @FamKamASMR @AsmrMaya @Mekotsu Congrats!! Gett...          0    0.8164     0.483    0.517     0.000
5666   @taysjennie hdkdh I understand! I watch asmr s...          0   -0.6317     0.000    0.684     0.316
5667   Madmattr Layered Rainbow Star #satisfying #asm...          1    0.0000     0.000    1.000     0.000
5668         Asmr for communists https://t.co/27cPS5NKZ5          0    0.0000     0.000    1.000     0.000
5669                 asmr hits differently when its late          3    0.0000     0.000    1.000     0.000
5670            @imagineyonce talk me to sleep asmr king          2    0.0000     0.000    1.000     0.000
5671              Most asmr videos make me uncomfortable          0   -0.3818     0.000    0.658     0.342
5672   We need to work on getting Jack Blacks latest ...          0   -0.2960     0.000    0.916     0.084
5673   Troye Sivan Explores ASMR | W Magazine https:/...          0    0.0000     0.000    1.000     0.000
5674   what i look for in ASMR:\n- caring and support...          0    0.6124     0.273    0.657     0.071
5675   Hit next milestone. The next milestone is #pla...          0    0.0000     0.000    1.000     0.000
5676   @lolo_niccole TELL ME ABOUT IT. a slime accoun...          0   -0.6682     0.000    0.785     0.215
5677       @lovelyantariksa subscribe to my asmr channel          1    0.0000     0.000    1.000     0.000
5678   @Knight1ndustry I've learned that ASMR is a th...          1    0.0000     0.000    1.000     0.000
5679   Is now a good time to mention Dave Coulier gav...          0    0.6597     0.231    0.769     0.000
5680   is it weird that i actually like asmr?? it rea...         14    0.5794     0.360    0.528     0.112
5681   @Chupetinha3224 @JackieOtario @k_sunflowercat ...          1    0.0000     0.000    1.000     0.000
5682   @Chupetinha3224 @JackieOtario @k_sunflowercat ...          1    0.0000     0.000    1.000     0.000
5683   omg am going to do it in asmr brb https://t.co...         39    0.0000     0.000    1.000     0.000
5684      have you tried👋 🎳 ASMR https://t.co/b2swX3UDgV          2    0.0000     0.000    1.000     0.000
5685                           @Ahr_Ech Thats asmr to me          1    0.0000     0.000    1.000     0.000
5686                       @un_asmr sweet boy sweet baby          0    0.7184     0.667    0.333     0.000
5687   me doing asmr on facetime https://t.co/jHbY2C5i6a          0    0.0000     0.000    1.000     0.000
5688   ASMR Dog Reviewing Raw Meats! https://t.co/HUn...          0    0.0000     0.000    1.000     0.000
5689                 help im in love with this asmr lady          0    0.7845     0.535    0.465     0.000
5690                     what are ur opinions on ASMR ??          8    0.0000     0.000    1.000     0.000
5691   ASMR TAPPING &amp; TOUCHING THE GOLD BOX | No ...          0   -0.2960     0.000    0.901     0.099
5692   New post: ASMR Crinkles For Your Tingles | No ...          2   -0.2960     0.000    0.804     0.196
5693   New post: ASMR Scratching For Your Tingles | N...          0   -0.2960     0.000    0.804     0.196
5694   I'm so proud of YOU [ASMR by lumlumxx @manyvid...          1    0.5256     0.274    0.726     0.000
5695   @narukami_vs Sorry fam id rather watch your cl...          1   -0.0772     0.000    0.902     0.098
5696   hey @un_asmr !!!!!! it’s bumblebee (as you kno...          0    0.0000     0.000    1.000     0.000
5697                             asmr idea hair slurping          0    0.0000     0.000    1.000     0.000
5698   @_saysooo - looking at pics/vids of cats (no l...          0    0.0000     0.000    1.000     0.000
5699   (ASMR) Biohacking Roleplay With An Organic Glitch          0    0.0000     0.000    1.000     0.000
5700   You Will Feel Better In Under 10 Minutes To AS...          0   -0.3612     0.143    0.591     0.266
5701   ASMR (feat. Awkwafina) https://t.co/TGymSB0qJg...          0    0.4019     0.172    0.828     0.000
5702                          @cluelessval Queen of ASMR          0    0.0000     0.000    1.000     0.000
5703           @OldBookClub @AndrewQuackson Tradcon asmr          1    0.0000     0.000    1.000     0.000
5704   Listening to my brother eat reheated pizza tha...          1   -0.5719     0.070    0.767     0.164
5705   https://t.co/ww85d8EqDx @busybasmr is an aweso...          1    0.6249     0.227    0.773     0.000
5706   @iCon92_ I did asmr video thru them this morni...          1    0.0000     0.000    1.000     0.000
5707             Am I the only one obsessed with ASMR? 😂          1    0.2960     0.232    0.549     0.220
5708                   @109volts this is my kind of asmr          2    0.0000     0.000    1.000     0.000
5709   hotel california is like asmr to me idk i coul...          7    0.0000     0.185    0.630     0.185
5710   I just saw an asmr video of a girl mixing like...          0    0.3612     0.111    0.889     0.000
5711   A lovely compliment I got today has me wonderi...          7    0.7845     0.277    0.723     0.000
5712   @TheUnknownUsa Ear eating asmr is where it’s a...          0    0.0000     0.000    1.000     0.000
5713          ASMR Paper Rapping https://t.co/9pP5HBeuAP          1    0.0000     0.000    1.000     0.000
5714             Today I found out furry ASMR is a thing          8    0.0000     0.000    1.000     0.000
5715   50 send now for my stone crabs 😈👣#findom #mukb...          2    0.0000     0.000    1.000     0.000
5716   If you find asmr confusing (like I do) and you...          0    0.6705     0.281    0.646     0.072
5717   terezi pyrope eats dave striders hair straight...          2    0.2942     0.135    0.865     0.000
5718   This is the second video in the Marketplace AS...          0   -0.2960     0.000    0.905     0.095
5719   asmr: using scissors to scrape gum outta your ...          0    0.4939     0.176    0.824     0.000
5720   ASMR | Peeling Stickers off Microphone, Sticky...          0    0.0000     0.000    1.000     0.000
5721   Yes Bubba.  This ASMR video will defiantly hel...          2    0.8020     0.427    0.573     0.000
5722   @infinite_bagel tsudaken tells u to commit cri...          1   -0.0772     0.206    0.561     0.234
5723   okay so..... I'm into ASMR now. like i think i...          9    0.5267     0.306    0.694     0.000
5724   Best asmr. We really relaxed after that. https...          1    0.8268     0.562    0.438     0.000
5725   Do you like it when soap is crushed in your ha...          0   -0.1511     0.128    0.715     0.158
5726   okay but i love her speaking voice so much?? p...          1    0.8996     0.523    0.477     0.000
5727   @busybasmr say no more fam https://t.co/EaelEF...          6   -0.2960     0.000    0.694     0.306
5728   @RaisedByKingsGG There is legit no way u dont ...          1   -0.2960     0.000    0.896     0.104
5729   New Eraudica Exclusive - ASMR Layered Cock Wor...          1    0.2732     0.327    0.531     0.142
5730   asmr idea: antoni from queer eye comes to ur h...          1    0.3182     0.099    0.901     0.000
5731   Me breaking into your house ASMR https://t.co/...          5    0.0000     0.000    1.000     0.000
5732               Good evening  https://t.co/6JlzKHSh4U          0    0.4404     0.592    0.408     0.000
5733   Asmr videos are pretty annoying to me Idk why ...          1   -0.0553     0.211    0.537     0.252
5734   Risa’s thetye to watch xronchy ASMR  videos to...          1    0.2040     0.191    0.687     0.122
5735   Troye Sivan Explores ASMR | W Magazine https:/...          1    0.0000     0.000    1.000     0.000
5736   why did warning play in the middle of my and j...          2    0.0000     0.152    0.696     0.152
5737   Another vid sold! 4K Sloppy Sailor ASMR  POV B...          3    0.0000     0.000    1.000     0.000
5738   Does anyone else watch those asmr soap cutting...          8   -0.4291     0.075    0.686     0.240
5739   tf li and i are doing asmr shit at 11:40pm we’...          1   -0.5574     0.000    0.753     0.247
5740   Omg before Selena became an ASMR artist 😍😍 htt...          1    0.0000     0.000    1.000     0.000
5741   Could listen to this over &amp; over ! 💕 #ASMR...          0    0.0000     0.000    1.000     0.000
5742   my ASMR trigger a lot by watching an implemetn...          1   -0.3875     0.000    0.889     0.111
5743   You'll find only the finest ASMR videos on my ...        533    0.0000     0.000    1.000     0.000
5744   #ASMR is a growing video trend for people who ...         78    0.7506     0.346    0.654     0.000
5745              communist asmr https://t.co/pFfSzswSWa          3    0.0000     0.000    1.000     0.000
5746   The visuals and asmr are totally on point! htt...          0    0.0000     0.000    1.000     0.000
5747                  @Joekemon Eating beans IS the ASMR          0    0.0000     0.000    1.000     0.000
5748     @SlenderSherbet @asmrDarling you and arya asmr?          0    0.0000     0.000    1.000     0.000
5749   @bIoodyaIpha @RUINDOLLY Thank you for informin...          2    0.7264     0.303    0.697     0.000
5750                eating ass asmr! real mouth sounds 💦          2   -0.5848     0.000    0.649     0.351
5751              atleast its not those eating asmr ones          0    0.0000     0.000    1.000     0.000
5752   kerrie listens to degradation asmr . am i rlly...          2   -0.3612     0.168    0.531     0.301
5753   I'm now making ASMR videos. Enjoy and relax ht...          1    0.7269     0.466    0.534     0.000
5754      @AidanRGallagher Aidan watches ASMR confirmed.          0    0.0000     0.000    1.000     0.000
5755                        @2019thoughts listen to asmr          0    0.0000     0.000    1.000     0.000
5756   i feel like ASMR is going to change the world ...          0    0.3612     0.185    0.815     0.000
5757   Noname &gt; Eminem. IDK how to describe her mu...          0    0.0943     0.127    0.764     0.109
5758   my uncle almost caught me doing asmr to his tu...          2    0.3612     0.161    0.839     0.000
5759   You ever VC with someone and they start eating...          0    0.2960     0.087    0.913     0.000
5760   *scratches nails on steering wheel* “ooouuu, t...          0    0.4404     0.182    0.818     0.000
5761   send me ur fav asmr channels NOW i need good s...          1    0.7096     0.396    0.604     0.000
5762   @antoni I’m gonna need you to start an ASMR ch...          0    0.0000     0.000    1.000     0.000
5763   I found I gay asmr channel I can't believe THI...          0    0.0000     0.000    1.000     0.000
5764   @FamKamASMR @AsmrMaya @Mekotsu Congrats!! Gett...          0    0.8164     0.483    0.517     0.000
5765   @taysjennie hdkdh I understand! I watch asmr s...          0   -0.6317     0.000    0.684     0.316
5766   Madmattr Layered Rainbow Star #satisfying #asm...          1    0.0000     0.000    1.000     0.000
5767         Asmr for communists https://t.co/27cPS5NKZ5          0    0.0000     0.000    1.000     0.000
5768                 asmr hits differently when its late          3    0.0000     0.000    1.000     0.000
5769            @imagineyonce talk me to sleep asmr king          2    0.0000     0.000    1.000     0.000
5770              Most asmr videos make me uncomfortable          0   -0.3818     0.000    0.658     0.342
5771   We need to work on getting Jack Blacks latest ...          0   -0.2960     0.000    0.916     0.084
5772   Troye Sivan Explores ASMR | W Magazine https:/...          0    0.0000     0.000    1.000     0.000
5773   what i look for in ASMR:\n- caring and support...          0    0.6124     0.273    0.657     0.071
5774   Hit next milestone. The next milestone is #pla...          0    0.0000     0.000    1.000     0.000
5775   @lolo_niccole TELL ME ABOUT IT. a slime accoun...          0   -0.6682     0.000    0.785     0.215
5776       @lovelyantariksa subscribe to my asmr channel          1    0.0000     0.000    1.000     0.000
5777   @Knight1ndustry I've learned that ASMR is a th...          1    0.0000     0.000    1.000     0.000
5778   Is now a good time to mention Dave Coulier gav...          0    0.6597     0.231    0.769     0.000
5779   is it weird that i actually like asmr?? it rea...         14    0.5794     0.360    0.528     0.112
5780   @Chupetinha3224 @JackieOtario @k_sunflowercat ...          1    0.0000     0.000    1.000     0.000
5781   @Chupetinha3224 @JackieOtario @k_sunflowercat ...          1    0.0000     0.000    1.000     0.000
5782   omg am going to do it in asmr brb https://t.co...         39    0.0000     0.000    1.000     0.000
5783      have you tried👋 🎳 ASMR https://t.co/b2swX3UDgV          2    0.0000     0.000    1.000     0.000
5784                           @Ahr_Ech Thats asmr to me          1    0.0000     0.000    1.000     0.000
5785                       @un_asmr sweet boy sweet baby          0    0.7184     0.667    0.333     0.000
5786   me doing asmr on facetime https://t.co/jHbY2C5i6a          0    0.0000     0.000    1.000     0.000
5787   ASMR Dog Reviewing Raw Meats! https://t.co/HUn...          0    0.0000     0.000    1.000     0.000
5788                 help im in love with this asmr lady          0    0.7845     0.535    0.465     0.000
5789                     what are ur opinions on ASMR ??          8    0.0000     0.000    1.000     0.000
5790   ASMR TAPPING &amp; TOUCHING THE GOLD BOX | No ...          0   -0.2960     0.000    0.901     0.099
5791   New post: ASMR Crinkles For Your Tingles | No ...          2   -0.2960     0.000    0.804     0.196
5792   New post: ASMR Scratching For Your Tingles | N...          0   -0.2960     0.000    0.804     0.196
5793   I'm so proud of YOU [ASMR by lumlumxx @manyvid...          1    0.5256     0.274    0.726     0.000
5794   @narukami_vs Sorry fam id rather watch your cl...          1   -0.0772     0.000    0.902     0.098
5795   hey @un_asmr !!!!!! it’s bumblebee (as you kno...          0    0.0000     0.000    1.000     0.000
5796                             asmr idea hair slurping          0    0.0000     0.000    1.000     0.000
5797   @_saysooo - looking at pics/vids of cats (no l...          0    0.0000     0.000    1.000     0.000
5798   (ASMR) Biohacking Roleplay With An Organic Glitch          0    0.0000     0.000    1.000     0.000
5799   You Will Feel Better In Under 10 Minutes To AS...          0   -0.3612     0.143    0.591     0.266
5800   ASMR (feat. Awkwafina) https://t.co/TGymSB0qJg...          0    0.4019     0.172    0.828     0.000
5801                          @cluelessval Queen of ASMR          0    0.0000     0.000    1.000     0.000
5802           @OldBookClub @AndrewQuackson Tradcon asmr          1    0.0000     0.000    1.000     0.000
5803   Listening to my brother eat reheated pizza tha...          1   -0.5719     0.070    0.767     0.164
5804   https://t.co/ww85d8EqDx @busybasmr is an aweso...          1    0.6249     0.227    0.773     0.000
5805   @iCon92_ I did asmr video thru them this morni...          1    0.0000     0.000    1.000     0.000
5806             Am I the only one obsessed with ASMR? 😂          1    0.2960     0.232    0.549     0.220
5807                   @109volts this is my kind of asmr          2    0.0000     0.000    1.000     0.000
5808   hotel california is like asmr to me idk i coul...          7    0.0000     0.185    0.630     0.185
5809   I just saw an asmr video of a girl mixing like...          0    0.3612     0.111    0.889     0.000
5810   A lovely compliment I got today has me wonderi...          7    0.7845     0.277    0.723     0.000
5811   @TheUnknownUsa Ear eating asmr is where it’s a...          0    0.0000     0.000    1.000     0.000
5812          ASMR Paper Rapping https://t.co/9pP5HBeuAP          1    0.0000     0.000    1.000     0.000
5813             Today I found out furry ASMR is a thing          8    0.0000     0.000    1.000     0.000
5814   50 send now for my stone crabs 😈👣#findom #mukb...          2    0.0000     0.000    1.000     0.000
5815   If you find asmr confusing (like I do) and you...          0    0.6705     0.281    0.646     0.072
5816   terezi pyrope eats dave striders hair straight...          2    0.2942     0.135    0.865     0.000
5817   This is the second video in the Marketplace AS...          0   -0.2960     0.000    0.905     0.095
5818   asmr: using scissors to scrape gum outta your ...          0    0.4939     0.176    0.824     0.000
5819   ASMR | Peeling Stickers off Microphone, Sticky...          0    0.0000     0.000    1.000     0.000
5820   Yes Bubba.  This ASMR video will defiantly hel...          2    0.8020     0.427    0.573     0.000
5821   @infinite_bagel tsudaken tells u to commit cri...          1   -0.0772     0.206    0.561     0.234
5822   okay so..... I'm into ASMR now. like i think i...          9    0.5267     0.306    0.694     0.000
5823   Best asmr. We really relaxed after that. https...          1    0.8268     0.562    0.438     0.000
5824   Do you like it when soap is crushed in your ha...          0   -0.1511     0.128    0.715     0.158
5825   okay but i love her speaking voice so much?? p...          1    0.8996     0.523    0.477     0.000
5826   @busybasmr say no more fam https://t.co/EaelEF...          6   -0.2960     0.000    0.694     0.306
5827   @RaisedByKingsGG There is legit no way u dont ...          1   -0.2960     0.000    0.896     0.104
5828   New Eraudica Exclusive - ASMR Layered Cock Wor...          1    0.2732     0.327    0.531     0.142
5829   asmr idea: antoni from queer eye comes to ur h...          1    0.3182     0.099    0.901     0.000
5830   Me breaking into your house ASMR https://t.co/...          5    0.0000     0.000    1.000     0.000
5831               Good evening  https://t.co/6JlzKHSh4U          0    0.4404     0.592    0.408     0.000
5832   Asmr videos are pretty annoying to me Idk why ...          1   -0.0553     0.211    0.537     0.252
5833   Risa’s thetye to watch xronchy ASMR  videos to...          1    0.2040     0.191    0.687     0.122
5834   Troye Sivan Explores ASMR | W Magazine https:/...          1    0.0000     0.000    1.000     0.000
5835   why did warning play in the middle of my and j...          2    0.0000     0.152    0.696     0.152
5836   Another vid sold! 4K Sloppy Sailor ASMR  POV B...          3    0.0000     0.000    1.000     0.000
5837   Does anyone else watch those asmr soap cutting...          8   -0.4291     0.075    0.686     0.240
5838   tf li and i are doing asmr shit at 11:40pm we’...          1   -0.5574     0.000    0.753     0.247
5839   Omg before Selena became an ASMR artist 😍😍 htt...          1    0.0000     0.000    1.000     0.000
5840   Could listen to this over &amp; over ! 💕 #ASMR...          0    0.0000     0.000    1.000     0.000
5841   my ASMR trigger a lot by watching an implemetn...          1   -0.3875     0.000    0.889     0.111
5842   You'll find only the finest ASMR videos on my ...        533    0.0000     0.000    1.000     0.000
5843   #ASMR is a growing video trend for people who ...         78    0.7506     0.346    0.654     0.000
